"","sample_size","pred_ICC","noise_ICC","gtm_beta","ve_pred","SA_incidence_day","SA_followup","auc_m_mixed_30","auc_m_lin_30","auc_m_lin_14","auc_m_lin_7","auc_m_lin_1"
"1",100,0.3,0.5,0.2,0.0374037455924113,0.01,0.1346,0.657670823237925,0.566490544334874,0.561226623984372,0.555290804769197,0.51973511658505
"2",200,0.3,0.5,0.2,0.0376705671307879,0.01,0.13585,0.647266658339212,0.561764375329386,0.560155767693463,0.557191295158006,0.455886491239469
"3",500,0.3,0.5,0.2,0.0379048920642039,0.01,0.13025,0.657673227378746,0.568241300767601,0.565605638378344,0.559872764766407,0.54184224012689
"4",1000,0.3,0.5,0.2,0.0382189919186187,0.01,0.13645,0.667251519678092,0.575877716568938,0.576062033799688,0.57422785257665,0.549386867748524
"5",100,0.5,0.5,0.2,0.0376745097895823,0.01,0.1328,0.637777908192173,0.587420665586773,0.587374184807707,0.584200556142524,0.569631945239679
"6",200,0.5,0.5,0.2,0.0368736050653066,0.01,0.1332,0.645974464284393,0.587269255805564,0.586882325794043,0.585692237609949,0.567245274187482
"7",500,0.5,0.5,0.2,0.0363342353499104,0.01,0.1308,0.63936264868749,0.578194626910148,0.575662962513706,0.574302504786064,0.559047697197567
"8",1000,0.5,0.5,0.2,0.0400200736498403,0.01,0.13075,0.653067724289702,0.596096323664862,0.59470539970573,0.589243957927422,0.565779424778032
"9",100,0.7,0.5,0.2,0.0351224554471,0.01,0.12825,0.631072340574013,0.603859931061773,0.60257691134091,0.599662406057528,0.583664485506013
"10",200,0.7,0.5,0.2,0.0389100612225286,0.01,0.1298,0.633485109945087,0.603828929038844,0.604509239697382,0.601237077715552,0.58630642395069
"11",500,0.7,0.5,0.2,0.0364094704395797,0.01,0.12835,0.630304690392415,0.601984512514408,0.601122803883297,0.597757648124449,0.587733772919279
"12",1000,0.7,0.5,0.2,0.0349132892355172,0.01,0.12955,0.622663475581791,0.60064273952662,0.599115325084383,0.598551392496098,0.584305385243722
"13",100,0.3,0.5,0.2,0.0382933366610356,0.01,0.13285,0.653188152226975,0.564007723821588,0.558509683383416,0.556533693677875,0.531888253414524
"14",200,0.3,0.5,0.2,0.0353531851620314,0.01,0.1329,0.65584118015641,0.563678562859351,0.560549258413394,0.556180384611961,0.542722653715928
"15",500,0.3,0.5,0.2,0.0374258006203915,0.01,0.13165,0.647347627353712,0.566213279376854,0.562718926339223,0.559335423833441,0.548196560606122
"16",1000,0.3,0.5,0.2,0.040642500289831,0.01,0.13435,0.659654856709895,0.574549318066714,0.56625519431137,0.562947529035346,0.457525623439804
"17",100,0.5,0.5,0.2,0.0397721419589984,0.01,0.13395,0.654590575836006,0.60081336087268,0.599803404717159,0.596662810521865,0.573243046064149
"18",200,0.5,0.5,0.2,0.037928472125645,0.01,0.1317,0.651687437215046,0.599569410846422,0.597285646813706,0.592333101111427,0.570163892016832
"19",500,0.5,0.5,0.2,0.0386121165344039,0.01,0.13305,0.639452145554103,0.581777245250871,0.579957603716362,0.582161131930308,0.559934851536037
"20",1000,0.5,0.5,0.2,0.0386560595997473,0.01,0.1321,0.644363544181342,0.596208900089208,0.594418489545373,0.588005052792085,0.560917101057124
"21",100,0.7,0.5,0.2,0.0348149937500417,0.01,0.13075,0.628490006514904,0.59803048555517,0.597588599349206,0.595605359029043,0.574361227584069
"22",200,0.7,0.5,0.2,0.0383190609330364,0.01,0.131,0.633962825581009,0.614867735098695,0.612988692922307,0.613322984693058,0.601708349618781
"23",500,0.7,0.5,0.2,0.0386956539949004,0.01,0.1297,0.639778654246597,0.615495715450834,0.614211065710764,0.613189052062742,0.595517258818631
"24",1000,0.7,0.5,0.2,0.0357008807206264,0.01,0.1304,0.636843325208456,0.606552308402324,0.606817968880832,0.605078810703816,0.590706250539985
"25",100,0.3,0.5,0.2,0.0365654634564991,0.01,0.13345,0.649479888104965,0.557484199148712,0.445671320459292,0.550846086153931,0.532112007529081
"26",200,0.3,0.5,0.2,0.0369022917692678,0.01,0.1294,0.660933977258792,0.580613289803834,0.575992876317988,0.570403201389553,0.55175875809324
"27",500,0.3,0.5,0.2,0.0363911302067056,0.01,0.1342,0.649173781977196,0.560141680423272,0.561196246913583,0.557836235626107,0.537444503703717
"28",1000,0.3,0.5,0.2,0.0374392849226274,0.01,0.13635,0.654505762988166,0.56623437896767,0.561937841680158,0.555589635605966,0.5376906412555
"29",100,0.5,0.5,0.2,0.0372034071576674,0.01,0.1307,0.645626578937812,0.598378743504229,0.59792476432228,0.596550544462965,0.570067988712964
"30",200,0.5,0.5,0.2,0.0362834244526181,0.01,0.1329,0.637794230268608,0.588267971174295,0.586772856292371,0.58468284218527,0.556431848334619
"31",500,0.5,0.5,0.2,0.0369587724640207,0.01,0.13215,0.644757734713283,0.590267903801742,0.58682259540233,0.582231191292254,0.554528918271635
"32",1000,0.5,0.5,0.2,0.0367858060134537,0.01,0.1287,0.635328163547573,0.579317274967336,0.57729433885124,0.574536633597727,0.556976965820619
"33",100,0.7,0.5,0.2,0.036808077572884,0.01,0.12795,0.627755738919934,0.599000707334338,0.598924390815989,0.598181960857661,0.579687387667656
"34",200,0.7,0.5,0.2,0.0368221649387532,0.01,0.12885,0.629124736767389,0.608079429317317,0.608778501782592,0.606991142673944,0.593241763344679
"35",500,0.7,0.5,0.2,0.0354697581024112,0.01,0.1312,0.630153859356797,0.613142077024506,0.612179961124205,0.608708488465354,0.589435762390526
"36",1000,0.7,0.5,0.2,0.0330553934352759,0.01,0.1316,0.625357588034844,0.595764015882326,0.595692548561703,0.593997125317223,0.584001157907097
"37",100,0.3,0.5,0.3,0.081053383342847,0.01,0.13445,0.720138085905342,0.602658760656178,0.600382749093147,0.59465557221039,0.560818449750997
"38",200,0.3,0.5,0.3,0.0829888239235583,0.01,0.13505,0.731406127215281,0.606563041311697,0.599238683756563,0.591292398893087,0.556326157035031
"39",500,0.3,0.5,0.3,0.0830387427143759,0.01,0.137,0.729344189743386,0.602498080117163,0.599935817870093,0.595406747271988,0.56644953387031
"40",1000,0.3,0.5,0.3,0.0825780405742032,0.01,0.13665,0.724820907985473,0.603309402756841,0.599595126333289,0.593953893766881,0.570286576349276
"41",100,0.5,0.5,0.3,0.0806456962939876,0.01,0.13185,0.705519328995258,0.634263037546978,0.632483313391323,0.627829743991856,0.599966592833165
"42",200,0.5,0.5,0.3,0.078862878866547,0.01,0.13475,0.713272929866559,0.633146022039542,0.628195914063493,0.625892416227328,0.598624720677197
"43",500,0.5,0.5,0.3,0.080640082230563,0.01,0.134,0.713734022919708,0.633695876560094,0.631406879628313,0.631848037364443,0.600276303936593
"44",1000,0.5,0.5,0.3,0.0786540847818545,0.01,0.13095,0.704097222830198,0.627836254223142,0.623532857360831,0.62289758446212,0.59299417615352
"45",100,0.7,0.5,0.3,0.0792345474443598,0.01,0.12985,0.68776348153967,0.651359659502421,0.651081328352947,0.64942786890358,0.631739457565604
"46",200,0.7,0.5,0.3,0.0806252778665925,0.01,0.12615,0.699131324830364,0.665113919826183,0.663851298354612,0.661509857521902,0.640371596780374
"47",500,0.7,0.5,0.3,0.0806846022857073,0.01,0.1275,0.689221463118882,0.657021748651298,0.656681711420805,0.652943388876312,0.629185344741618
"48",1000,0.7,0.5,0.3,0.0766202425855505,0.01,0.1259,0.690089576236441,0.656593856702327,0.654421722345803,0.650766261661112,0.63210898756545
"49",100,0.3,0.5,0.3,0.0821135021018109,0.01,0.13595,0.72214888502848,0.605485090323102,0.600247761706534,0.594389997163788,0.562236598975172
"50",200,0.3,0.5,0.3,0.0805092726581609,0.01,0.133,0.722094027966343,0.600374101575888,0.595195929828577,0.58942010676325,0.440223014156071
"51",500,0.3,0.5,0.3,0.0784754065835309,0.01,0.13395,0.724431778032982,0.607012900548877,0.602663791795898,0.596183209342417,0.564757833049061
"52",1000,0.3,0.5,0.3,0.0792078511168918,0.01,0.13645,0.720512038391424,0.597539248496949,0.59616148141927,0.589479989812863,0.557358818144197
"53",100,0.5,0.5,0.3,0.0819186331841792,0.01,0.1324,0.715338840634543,0.640578104784533,0.637800626520606,0.635852029435017,0.60680361782203
"54",200,0.5,0.5,0.3,0.0812590227992885,0.01,0.12985,0.698938434092971,0.624716942374336,0.620888501775252,0.61968336711558,0.595439049004167
"55",500,0.5,0.5,0.3,0.0808686003857625,0.01,0.1302,0.718959566105781,0.634622732772769,0.631335147324049,0.62727005468176,0.59774441733205
"56",1000,0.5,0.5,0.3,0.0816001712412573,0.01,0.1322,0.702328099542378,0.637581396660927,0.634464780461748,0.628541084278605,0.593623872777713
"57",100,0.7,0.5,0.3,0.0778539519168768,0.01,0.1254,0.69846611388484,0.661626135426297,0.661185547720615,0.658058016609334,0.634625530000517
"58",200,0.7,0.5,0.3,0.0762272206149494,0.01,0.12945,0.683075294081497,0.641979001019754,0.639937303341537,0.636697622873932,0.621414146645454
"59",500,0.7,0.5,0.3,0.0813484755059418,0.01,0.1255,0.688943062716487,0.650308491322954,0.649644101750325,0.647559235872386,0.626579055517338
"60",1000,0.7,0.5,0.3,0.0810848345373432,0.01,0.1266,0.692525592730246,0.658306365569128,0.657014657048382,0.653921241734749,0.636642718606016
"61",100,0.3,0.5,0.3,0.080754520062886,0.01,0.1397,0.725524682446016,0.597903532642153,0.593463418293958,0.589583671264947,0.548702236605374
"62",200,0.3,0.5,0.3,0.0782855460706972,0.01,0.1348,0.716002688903121,0.589778472305748,0.585363646247907,0.580983125120621,0.54994039682197
"63",500,0.3,0.5,0.3,0.0806435956913593,0.01,0.13815,0.719761695553889,0.593963868289093,0.591022908915986,0.582642159172215,0.558511375170668
"64",1000,0.3,0.5,0.3,0.08047757285322,0.01,0.1329,0.718527427743946,0.600788988198174,0.598241159183406,0.596932569453702,0.558688673778225
"65",100,0.5,0.5,0.3,0.0835877377570573,0.01,0.131,0.704572419504919,0.630838398793908,0.626742900853532,0.622806184727901,0.595908062070728
"66",200,0.5,0.5,0.3,0.0789083447001297,0.01,0.13115,0.701159318879468,0.624346280709611,0.624356574839372,0.620657954573466,0.586913774821727
"67",500,0.5,0.5,0.3,0.0795762166038905,0.01,0.1304,0.711588255044568,0.629157145648793,0.626506425583346,0.622943210097259,0.589338075097844
"68",1000,0.5,0.5,0.3,0.0813702270351764,0.01,0.1382,0.709629954416979,0.633851504792749,0.631678418556283,0.626628687774289,0.601660131555999
"69",100,0.7,0.5,0.3,0.0772175225431947,0.01,0.1289,0.68778716328171,0.652893362120232,0.652582340083962,0.650253103543353,0.63144121042882
"70",200,0.7,0.5,0.3,0.0792577913694939,0.01,0.12795,0.690339835233184,0.650567726945983,0.648856190541744,0.647710966959075,0.628510952582336
"71",500,0.7,0.5,0.3,0.0764839832329041,0.01,0.1291,0.683116338339862,0.649285293622745,0.648863742591662,0.645979186531309,0.627169732832276
"72",1000,0.7,0.5,0.3,0.0797745740799418,0.01,0.12805,0.689518063730217,0.651417631122734,0.650124684600692,0.647353174694163,0.630253094182502
"73",100,0.3,0.5,0.4,0.13592099555046,0.01,0.1444,0.775393018349494,0.630349906536979,0.624981065840525,0.614758172874257,0.568382029988769
"74",200,0.3,0.5,0.4,0.131303646020483,0.01,0.1405,0.781860976082851,0.624246788585109,0.619782818192137,0.610932439470171,0.562626993089921
"75",500,0.3,0.5,0.4,0.132153467166185,0.01,0.1355,0.775185416884646,0.617375404197619,0.610571508603693,0.599337883465838,0.561910687625438
"76",1000,0.3,0.5,0.4,0.133385604822653,0.01,0.1379,0.776363447995448,0.618321549566292,0.613676159176872,0.607498008904539,0.574095721727193
"77",100,0.5,0.5,0.4,0.136585928705045,0.01,0.13005,0.762072940906443,0.676801788823708,0.672659563795102,0.666199364256083,0.632861179893591
"78",200,0.5,0.5,0.4,0.132908609965832,0.01,0.1335,0.761432228067169,0.330160162062623,0.332932688920394,0.342751398020754,0.619182105898001
"79",500,0.5,0.5,0.4,0.131564829078279,0.01,0.1331,0.762813855909643,0.669429024757042,0.666693766693267,0.660679473729323,0.62476578972802
"80",1000,0.5,0.5,0.4,0.131746851593429,0.01,0.1336,0.756224136817822,0.660554158254847,0.659953520005819,0.655652404434248,0.616673339627156
"81",100,0.7,0.5,0.4,0.130995967201537,0.01,0.12765,0.741048832885376,0.697941149218729,0.695220244094549,0.691325570738399,0.671226688461653
"82",200,0.7,0.5,0.4,0.134066496088757,0.01,0.12665,0.74677973028037,0.698078409095525,0.697205053013794,0.693278155749383,0.665097411161908
"83",500,0.7,0.5,0.4,0.134333059421393,0.01,0.12755,0.748129706117986,0.701416398563248,0.699063460227778,0.695930170727891,0.662299855232205
"84",1000,0.7,0.5,0.4,0.132481465308845,0.01,0.12585,0.74027808706071,0.694844592776868,0.693959932296536,0.691312152100096,0.664518691660399
"85",100,0.3,0.5,0.4,0.135355820606059,0.01,0.14415,0.780524509922094,0.629342012722998,0.625785061143496,0.617376154524285,0.576206240001723
"86",200,0.3,0.5,0.4,0.134719114556934,0.01,0.13945,0.77904781867263,0.628795396169298,0.624987135980136,0.614666237157243,0.571091187827455
"87",500,0.3,0.5,0.4,0.134364664357037,0.01,0.13825,0.78405821391232,0.634995877425044,0.62942762345679,0.623946560846555,0.577034678130506
"88",1000,0.3,0.5,0.4,0.135252971282699,0.01,0.1369,0.775902587047535,0.632625448689025,0.629618697960413,0.62451786070323,0.57694033555395
"89",100,0.5,0.5,0.4,0.131810781187571,0.01,0.13515,0.763823543935753,0.667159543610465,0.663058661509246,0.65814668684457,0.617593612943419
"90",200,0.5,0.5,0.4,0.135061852007012,0.01,0.12995,0.764897091586226,0.665802550397258,0.662719003047406,0.661414009592047,0.621770926998068
"91",500,0.5,0.5,0.4,0.130688653408793,0.01,0.1289,0.762284084411353,0.665908959805285,0.662194869726511,0.655317494002805,0.619528056109873
"92",1000,0.5,0.5,0.4,0.132963796234733,0.01,0.1362,0.763036809395593,0.671526100297442,0.66985619660517,0.666376632372581,0.620231853739492
"93",100,0.7,0.5,0.4,0.127202106532319,0.01,0.12405,0.743028305370714,0.69981349318512,0.698597668347866,0.694858244209347,0.666726441663925
"94",200,0.7,0.5,0.4,0.129423924102339,0.01,0.13,0.743068680584397,0.691451306185126,0.690733004088128,0.686755365496429,0.659365640261326
"95",500,0.7,0.5,0.4,0.133383115464116,0.01,0.12455,0.745407785229901,0.69917176797331,0.695951578089383,0.692536855292754,0.668498407571207
"96",1000,0.7,0.5,0.4,0.133439682943769,0.01,0.1253,0.743415716741217,0.700210336842322,0.700711934593332,0.698571125200976,0.66873087502149
"97",100,0.3,0.5,0.4,0.134469918225195,0.01,0.13775,0.778569022338571,0.624984214854673,0.617632517822207,0.610237367150586,0.574484669056763
"98",200,0.3,0.5,0.4,0.136006616388269,0.01,0.1403,0.784821193979743,0.633170629395116,0.627444439622841,0.618820674113432,0.577715883540035
"99",500,0.3,0.5,0.4,0.136516979691724,0.01,0.138,0.783202217742186,0.634617225132079,0.630710099112317,0.619289529887907,0.575574703573947
"100",1000,0.3,0.5,0.4,0.134651262213168,0.01,0.13785,0.781241130841149,0.631149656093687,0.623995293811633,0.618249285107454,0.576094739611023
"101",100,0.5,0.5,0.4,0.135644024939937,0.01,0.132,0.76960062373962,0.678513235329737,0.674131694998464,0.669632607590033,0.631875249063741
"102",200,0.5,0.5,0.4,0.134042003516236,0.01,0.1292,0.754008810116431,0.661828589217656,0.658733367836433,0.656569825504463,0.623184489297656
"103",500,0.5,0.5,0.4,0.138937356081575,0.01,0.13355,0.764840032894995,0.677716885868705,0.674247980163781,0.66816701574869,0.625454023639864
"104",1000,0.5,0.5,0.4,0.133780581907772,0.01,0.1338,0.767690817844667,0.676043011465302,0.67605165472887,0.669286253899675,0.626173296093714
"105",100,0.7,0.5,0.4,0.132907734445,0.01,0.12395,0.753364612535936,0.705355106873365,0.70316948491919,0.700281435297736,0.667126905110475
"106",200,0.7,0.5,0.4,0.129064138812402,0.01,0.12715,0.738790777120587,0.694052702005423,0.692753451304655,0.691372502599893,0.660505252584979
"107",500,0.7,0.5,0.4,0.134331095238126,0.01,0.1201,0.750214398759114,0.702673121805858,0.699891589364327,0.697343835060772,0.673474038550134
"108",1000,0.7,0.5,0.4,0.131454244556044,0.01,0.12895,0.740552703393232,0.695633128852443,0.693729490469012,0.689566534933793,0.660512185291147
