"","sample_size","pred_ICC","noise_ICC","gtm_beta","ve_pred","SA_incidence_day","SA_followup","auc_m_mixed_30","auc_m_lin_30","auc_m_lin_14","auc_m_lin_7","auc_m_lin_1"
"1",100,0.3,0.5,0.2,0.0380716805343032,0.01,0.12935,0.657518578742154,0.57988129433494,0.573065797689403,0.569344349137463,0.536029454332957
"2",200,0.3,0.5,0.2,0.0369982108092808,0.01,0.1376,0.65167083210887,0.572675669939687,0.571955565704448,0.567244391311944,0.45921936411138
"3",500,0.3,0.5,0.2,0.0372354523821103,0.01,0.13515,0.656404122248107,0.571404418130239,0.567247799046423,0.562398221930118,0.536692608821026
"4",1000,0.3,0.5,0.2,0.0382021197983838,0.01,0.13145,0.655975381961052,0.563751526955176,0.561204114958935,0.558859558845323,0.533325298478524
"5",100,0.5,0.5,0.2,0.0362554998013776,0.01,0.13085,0.636921331342966,0.576684573165561,0.577410710272617,0.57116471038028,0.55289879415517
"6",200,0.5,0.5,0.2,0.0392600189390349,0.01,0.1312,0.648076592929372,0.592578404232558,0.591227515942753,0.590015894948174,0.558130618630659
"7",500,0.5,0.5,0.2,0.0364119470877752,0.01,0.1325,0.63950559404228,0.575445864889973,0.572402567305005,0.571788482746509,0.560557847701542
"8",1000,0.5,0.5,0.2,0.037186991203489,0.01,0.1356,0.642070132935323,0.581189423061424,0.581031712600783,0.578902491511231,0.560325762420508
"9",100,0.7,0.5,0.2,0.0355870625730806,0.01,0.13275,0.631062906130951,0.392163923851249,0.392770958440907,0.393137893496791,0.593149991654291
"10",200,0.7,0.5,0.2,0.0384951517994863,0.01,0.1348,0.634141256258552,0.603492563169757,0.601566883636796,0.601152972305416,0.592166271413751
"11",500,0.7,0.5,0.2,0.0344535855310562,0.01,0.12995,0.627018543220888,0.601186912034949,0.600580587458455,0.598115018132439,0.588765852783696
"12",1000,0.7,0.5,0.2,0.0352623994063556,0.01,0.12905,0.626660899951283,0.600801589328935,0.601472006529242,0.599776649522377,0.58994971290217
"13",100,0.3,0.5,0.2,0.0361031644106675,0.01,0.1353,0.664133349655498,0.569078258571916,0.563945134894556,0.562451084089972,0.540637299248519
"14",200,0.3,0.5,0.2,0.0343086140573948,0.01,0.13535,0.657947964992339,0.559531598723677,0.557671441274918,0.556149458606504,0.532734276921459
"15",500,0.3,0.5,0.2,0.0371287287259161,0.01,0.13775,0.652898239816205,0.563675998695414,0.55776272736888,0.550796171060802,0.533099570249363
"16",1000,0.3,0.5,0.2,0.0375497660314899,0.01,0.13565,0.666164025993327,0.580003076637067,0.574965584871705,0.570653361096204,0.542651480189731
"17",100,0.5,0.5,0.2,0.0352417820229274,0.01,0.1315,0.652871656544075,0.5902969692785,0.588360149690527,0.585744061856574,0.564399240248638
"18",200,0.5,0.5,0.2,0.0365888688828337,0.01,0.1342,0.647731729861974,0.592582219002424,0.59208824311757,0.587811143397382,0.568533023974079
"19",500,0.5,0.5,0.2,0.0369968025278417,0.01,0.13345,0.643560696220493,0.592136610574321,0.592869099941618,0.589186145130848,0.574350967515978
"20",1000,0.5,0.5,0.2,0.0357815524173955,0.01,0.13395,0.633246490793912,0.583739955737587,0.581796263155402,0.578015765643735,0.560498684581155
"21",100,0.7,0.5,0.2,0.0371709696044533,0.01,0.1267,0.630717868017521,0.603656541504858,0.603712146096293,0.604506490883443,0.587007449874424
"22",200,0.7,0.5,0.2,0.0339725495152656,0.01,0.1315,0.624101840899772,0.596520160310123,0.59518510481264,0.59493030740077,0.580360769323185
"23",500,0.7,0.5,0.2,0.0386686663409507,0.01,0.1315,0.640549929728681,0.618513572616593,0.618481931058062,0.615491435316374,0.593260569109594
